Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator D10                      0mil          0mil   1007.125mil   1003.625mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.125mil   1003.812mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.062mil   1003.812mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.062mil   1003.875mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.625mil   1003.875mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.625mil   1003.812mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.562mil   1003.812mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.562mil   1003.688mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil     1006.5mil   1003.688mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil     1006.5mil   1003.375mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.562mil   1003.375mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.562mil   1003.312mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.625mil   1003.312mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.625mil    1003.25mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.688mil    1003.25mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.688mil   1003.188mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.812mil   1003.188mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.812mil   1003.125mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.938mil   1003.125mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.938mil   1003.062mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.062mil   1003.062mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.062mil       1003mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil    1007.25mil       1003mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil    1007.25mil   1002.938mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.375mil   1002.938mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.375mil   1002.875mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil     1007.5mil   1002.875mil          0mil          0mil  T          0.00 Comment        
